Cód.,Cód. Fab.,Descripción,Rubro,Marca,Stock,Precios con IVA (DOLAR (U$S)),Descripción Detallada,Descripción Larga
17470,MCA-UNIV3-BPB,Cargador universal p/notebooks p/auto -12v -50w -7 conectores -Probattery (MCA-UNIV3-BPB),Notebooks - Cargadores y Baterias,Probattery,Si,13.78,,"CARGADOR NOTEBOOKS - MCA-UNIV3-CPB
Cargador universal netbook/notebook p/auto
 
tipo 		
UNIVERSAL

voltaje 		
12v

entrada 		
12-24V DC

salida 		
12~24V & USB 5V 1A"
19322,23545,Cargador usb p/auto -12v -1A + 2.1A -doble usb -black -Kolke (023545),Cargadores y Fuentes,Kolke,Si,0.76,Cargador p/auto -12v -USB -1A + 2.1A -doble usb -negro -Kolke (023545),"Adaptador 12V a USB
Ideal para cargar dispositivos por puerto usb desde el encendedor del auto
1 puerto de carga 2.1amp
1 puerto de carga 1amp

Conector
USB

Tipo de cargador
De auto

Voltaje de entrada
12V"
23590,NM-CASE-2,"Carry Disk externo 2,5"" sata -ssd -hdd -usb 2.0 -480Mbps -2TB -Netmak (NM-CASE-2)",Carry Disk,Netmak,Si,3.86,,"Alta velocidad de transferencia
Carry Disk USB 2.0 para discos 2.5""HDD/SSD 

? Convierte tu disco interno de 2.5? en un disco portátil.
? Transferencia de archivos rápida y eficiente.
? Diseño súper delgado y liviano, ideal para transportar.
? Compatible con discos HDD / SSD 2.5? SATA.
? Capacidad máxima de 2TB.
? Compatible con todos los sistemas operativos.
? Plug & Play, no requiere drivers.
? Transferencia de datos: hasta 480Mbps (USB2.0)."
23595,NM-CASE-AL,"Carry Disk externo 2,5"" sata -ssd -hdd -usb 3.0 -5Gbps -4TB -aluminio -Netmak (NM-CASE-AL)",Carry Disk,Netmak,Si,5.78,,"NM-CASE-AL
Carry Disk USB 3.0 de aluminio para discos 2.5""HDD/SSD

? Alta velocidad de transferencia
? Convierte tu disco interno de 2.5? en un disco portátil.
? Transferencia de archivos rápida y eficiente.
? Diseño supér delgado y liviano, ideal para transportar.
? Compatible con discos HDD / SSD 2.5? SATA.
? Capacidad máxima de 4TB.
? Compatible con todos los sistemas operativos.
? Plug & Play, no requiere drivers.
? Transferencia de datos: hasta 5 Gbps (USB3.0).
? Diez veces mas rápido que el USB 2.0.
? Material: Aluminio, ofrece una mayor disipación de calor y protección robusta para el disco duro."
23596,NM-CASE-TR,"Carry Disk externo 2,5"" sata -ssd -hdd -usb 3.0 -5Gbps -4TB -transparente -Netmak (NM-CASE-TR)",Carry Disk,Netmak,Si,5.15,,"NM-CASE-TR
Carry Disk USB 3.0 transparente para discos 2.5""HDD/SSD

? Alta velocidad de transferencia
? Convierte tu disco interno de 2.5? en un disco portátil.
? Transferencia de archivos rápida y eficiente.
? Diseño supér delgado y liviano, ideal para transportar.
? Compatible con discos HDD / SSD 2.5? SATA.
? Capacidad máxima de 4TB.
? Compatible con todos los sistemas operativos.
? Plug & Play, no requiere drivers.
? Transferencia de datos: hasta 5 Gbps (USB3.0).
? Diez veces mas rápido que el USB 2.0."
23592,NM-CASE-5,Carry Disk externo ssd M.2 -sata/ngff -type c usb 3.2 a usb 3.0 -5Gbps -2TB -aluminio -Netmak (NM-CASE-5),Carry Disk,Netmak,Si,9.93,,"NM-CASE-5
Carry Disk USB-C 3.2 para discos SSD M.2 NGFF/Sata

? Alta velocidad de transferencia
? Convierte tu disco interno M.2 NGFF/SATA en un disco portátil.
? Transferencia de archivos rápida y eficiente.
? Compatible con las alturas más comunes de discos 
  SSD M.2 SATA / NGFF (2230, 2242, 2260, 2280).
? Compatible con discos M.2 SATA con puerto B Key o B+M Key.
? Capacidad máxima de 2TB.
? Transferencia de datos: hasta 5 Gbps.
? Compatible con todos los sistemas operativos.
? Plug and play, no requiere drivers.
? Material: Aluminio, ofrece una mayor disipación de calor y protección robusta para el disco duro.
? Incluye cable tipo-C 3.2 a USB 3.0."
23594,NM-CASE-7,Carry Disk externo ssd M.2 NVMe -ngff/sata -type c usb 3.2 a usb 3.0 -10Gbps -4TB -aluminio -Netmak (NM-CASE-7),Carry Disk,Netmak,Si,13.11,,"NM-CASE-7
Carry Disk USB-C 3.2 para discos SSD M.2 NVMe y NGFF/Sata

? Alta velocidad de transferencia
? Convierte tu disco interno M.2 NVMe o SATA en un disco portátil.
? Transferencia de archivos rápida y eficiente.
? Compatible con las alturas más comunes de discos SSD M.2 NVMe y SATA (2230, 2242, 2260, 2280).
? Compatible con discos M.2 PCI-e NVMe y NGFF/SATA(de tipo M Key, B Key y M+B Key).
? Capacidad máxima de 4TB.
? Transferencia de datos: hasta 10 Gbps.
? Compatible con todos los sistemas operativos.
? Plug and play, no requiere drivers. 
? Material: Aluminio, ofrece una mayor disipación de calor y protección robusta para el disco duro.
? Incluye cable tipo-C 3.2 a USB 3.0."
23593,NM-CASE-6,Carry Disk externo ssd M.2 NVMe -type c usb 3.2 a usb 3.0 -10Gbps -4TB -aluminio -Netmak (NM-CASE-6),Carry Disk,Netmak,Si,10.57,,"NM-CASE-6
Carry Disk USB-C 3.2 para discos SSD M.2 NVMe

? Alta velocidad de transferencia
? Convierte tu disco interno M.2 NVMe PCI-e en un disco portátil.
? Transferencia de archivos rápida y eficiente.
? Compatible con las alturas más comunes de discos SSD M.2 NVMe (2230, 2242, 2260, 2280).
? Compatible con discos M.2  NVMe con puerto M Key o B+M Key.
? Capacidad máxima de 4TB.
? Transferencia de datos: hasta 10 Gbps.
? Compatible con todos los sistemas operativos.
? Plug and play, no requiere drivers."
11384,CZ103AL,Cartucho HP original -HP 662 -2ml -negro (CZ103AL),Cartuchos Originales,Hewlett Packard,Si,13.69,,"HP le ofrece una gama completa de posibilidades para que pueda elegir fácilmente los consumibles que mejor se ajusten a su volumen y frecuencia de impresión.

- Las versátiles tintas HP originales satisfacen todas sus necesidades de impresión: desde fotos con calidad de laboratorio a impresiones de páginas web. Produzca impresiones resistentes al agua, manchas y decoloración,5 utilizando cartuchos de tinta individuales que puede reemplazar uno a la vez y papel fotográfico avanzado HP.
- Impresión económica y confiable para todos los días.
- Expréselo mejor con papel y tinta HP originales.
- Negro"
11538,CZ104AL,Cartucho HP original -HP 662 -tricolor (CZ104AL),Cartuchos Originales,Hewlett Packard,Si,14.2,,"Descripción general
Disfrute las ventajas de la calidad superior de HP a bajo costo. Produzca documentos, informes y fotos en colores intensos, mientras mantiene bajos los costos de impresión, utilizando cartuchos de tinta HP originales.

Recursos
Obtenga la calidad HP que conoce y en la que confía. Imprima documentos, informes, imágenes y gráficos nítidos, y reduzca los costos de impresión con los cartuchos de tinta HP originales.

Confíe en los cartuchos de tinta HP originales que ofrecen resultados excelentes. Los nuevos cartuchos de tinta HP originales son diseñados para no presentar defectos de materiales, formulados para evitar daños a los cabezales de impresión y están preparados para acoplarse inmediatamente.

Imprima lo que necesite para tener éxito mientras reduce su impacto medioambiental. Elija cartuchos económicos fabricados con hasta 65% de contenido reciclado, y obtenga reciclaje fácil y gratuito de cartuchos a través de HP Planet Partners.[3][4]

Especificaciones
Color(es) de cartuchos de impresión
De tres colores 

Gota de tinta
2,3 pl a 8,5 pl (según el modo y la velocidad de impresión)

Tipos de tinta compatible
Basada en colorantes

Rendimiento de la página (color)
100 páginas

Requisitos operativos
Margen de temperaturas operativas
15 a 32°C

Temperatura de almacenamiento: límites
-40 a 60°C

Humedad durante almacenamiento
De 20 a 80% HR

Dimensiones y peso
Dimensiones del embalaje (An x F x Al)
114,05 x 102,87 x 36,32 mm

Peso del embalaje
0,05 kg"
21305,3YM79AL,Cartucho HP original Ink Advantage 667 -2ml -black (3YM79AL),Cartuchos Originales,Hewlett Packard,Si,14.17,,"Cartucho de tinta HP Original Ink Advantage 667, negro 3YM79AL

Imprima documentos con texto definido y colores vívidos gracias a los cartuchos de tinta original HP que están diseñados para brindar impresiones de calidad para su hogar, escuela o empresa pequeña. Gracias a los cartuchos a muy bajo precio, obtiene tinta original HP a un precio asequible. 

Recursos
Imprima los documentos de alta calidad y las fotos que necesita a un excelente precio. Gracias a los cartuchos a muy bajo precio, obtiene no solo tinta original HP a un precio asequible, sino también resultados confiables constantemente de parte de cartuchos diseñados con la impresora HP.

Confíe en cartuchos de tinta original HP para brindar un buen rendimiento de impresión. Ayude a garantizar las impresiones vívidas y definidas para el hogar, la escuela y el trabajo con cartuchos diseñados y probados con su impresora HP y diseñados para facilitar el uso.

Los cartuchos originales HP que son ideales para su forma de vivir, trabajar e imprimir. Confíe en que obtendrá resultados uniformes y de alta calidad y podrá volver a pedir cartuchos con facilidad, lo cual es algo que espera de HP en casa o mientras viaja.

Especificaciones
Color(es) de consumibles de impresión
Negro 

Gota de tinta
17,9 pl 

Tipos de tinta
Con base de pigmento

Rendimiento de la página (blanco y negro): 120 páginas "
21306,3YM78AL,Cartucho HP original Ink Advantage 667 -2ml -tricolor (3YM78AL),Cartuchos Originales,Hewlett Packard,Si,13.69,,"Descripción general

Imprima documentos con texto definido y colores vívidos gracias a los cartuchos de tinta original HP que están diseñados para brindar impresiones de calidad para su hogar, escuela o empresa pequeña. Gracias a los cartuchos a muy bajo precio, obtiene tinta original HP a un precio asequible. 

Recursos
Imprima los documentos de alta calidad y las fotos que necesita a un excelente precio. Gracias a los cartuchos a muy bajo precio, obtiene no solo tinta original HP a un precio asequible, sino también resultados confiables constantemente de parte de cartuchos diseñados con la impresora HP.

Confíe en cartuchos de tinta original HP para brindar un buen rendimiento de impresión. Ayude a garantizar las impresiones vívidas y definidas para el hogar, la escuela y el trabajo con cartuchos diseñados y probados con su impresora HP y diseñados para facilitar el uso.

Los cartuchos originales HP que son ideales para su forma de vivir, trabajar e imprimir. Confíe en que obtendrá resultados uniformes y de alta calidad y podrá volver a pedir cartuchos con facilidad, lo cual es algo que espera de HP en casa o mientras viaja.

Especificaciones
Color(es) de consumibles de impresión
De tres colores 

Gota de tinta
6,3 pl, 2,8 pl 

Tipos de tinta
Basada en colorantes

Rendimiento de la página (color)
100 páginas"
15438,F6V28AL,Cartucho HP original p/Deskjet 1115/2135/3635/3835/4535/4675 -HP 664 -2ml -tricolor(F6V28AL),Cartuchos Originales,Hewlett Packard,Si,14.25,,"Cartucho HP 664 F6V28AL Color

Cartucho original de tinta tricolor
Para impresoras Hewlett Packard Deskjet Ink Advantage 1115/2135/3635/3835/4535/4675"
15437,F6V29AL,Cartucho HP original p/Deskjet 2135/3635/3835/4535/4675 -HP 664 -2ml -black (F6V29AL),Cartuchos Originales,Hewlett Packard,Si,14.3,,"Cartucho Tinta Hp 664 Original

Para impresoras
Deskjet 2135 / 3635 / 3835 / 4535 / 4675

RENDIMIENTO / CAPACIDAD:
Hasta 120 páginas
Nitidez y claridad permanentes

Color: Negro"
2284,GN-EP90B,Cartucho p/Epson C92/CX5600 (T090120Al) -black -Gneiss (GN-EP90B),Cartuchos Alternativos Epson,Gneiss,Si,2.69,,"GN-EP90B
CART GNEISS PARA EPSON ST, C 92/ CX ? 5600

Nuestros cartuchos alternativos, logran una máxima compatibilidad con tu modelo de impresora y una calidad de impresión excelente con óptimos rendimientos.

- 100% compatibles 
- Cerrados al vacío
- Colores Reales
- No tapan los inyectores"
2275,GN-EP73NC,Cartucho p/Epson ST/T23/T33/TX105/TX200/TX300F/TX400/CX9300 (T073220) -cyan -Gneiss (GN-EP73NC),Cartuchos Alternativos Epson,Gneiss,Si,2.83,,"GN-EP73NC
CART, GNEISS P/ EPSON ST, T23/T33/TX105/TX200/TX300F/TX400/CX9300 CYAN

Nuestros cartuchos alternativos, logran una máxima compatibilidad con tu modelo de impresora y una calidad de impresión excelente con óptimos rendimientos.

- 100% compatibles 
- Cerrados al vacío
- Colores Reales
- No tapan los inyectores"
2276,GN-EP73NM,Cartucho p/Epson ST/T23/T33/TX105/TX200/TX300F/TX400/CX9300 (T073320)-magenta -Gneiss (GN-EP73NM),Cartuchos Alternativos Epson,Gneiss,Si,2.83,,"GN-EP73NM
CART GNEISS P/ EPSON ST, T23/T33/TX105/TX200/TX300F/TX400/CX9300 MAGENTA

Nuestros cartuchos alternativos logran una máxima compatibilidad con tu modelo de impresora y una calidad de impresión excelente con óptimos rendimientos.

- 100% compatibles 
- Cerrados al vacío
- Colores Reales
- No tapan los inyectores"
2277,GN-EP73NY,Cartucho p/Epson ST/T23/T33/TX105/TX200/TX300F/TX400/CX9300 (T073420) -yellow -Gneiss (GN-EP73NY),Cartuchos Alternativos Epson,Gneiss,Si,2.78,,"GN-EP73NY
CART GNEISS P/ EPSON ST, T23/T33/TX105/TX200/TX300F/TX400/CX9300 YELLOW

Nuestros cartuchos alternativos logran una máxima compatibilidad con tu modelo de impresora y una calidad de impresión excelente con óptimos rendimientos.

- 100% compatibles 
- Cerrados al vacío
- Colores Reales
- No tapan los inyectores"
7745,GN-EP117,Cartucho p/Epson Stylus T23/TX105 -14.5ml -black -Gneiss (GN-EP117),Cartuchos Alternativos Epson,Gneiss,Si,2.88,,"GN-EP117
CART GNEISS PARA EPSON ST, T23 / TX105 BLACK

Nuestros cartuchos alternativos logran una máxima compatibilidad con tu modelo de impresora y una calidad de impresión excelente con óptimos rendimientos."
8392,GN-EP135,Cartucho p/Epson T25/TX123/TX125 (T135120) -black -Gneiss (GN-EP135),Cartuchos Alternativos Epson,Gneiss,Si,1.45,,"Cartucho GN-EP135BK para uso en Stylus T25, TX125 y TX123

Para uso en:
T25/TX125/TX123/T22/TX1207TX420W/TX320F

Los cartuchos alternativos Gneiss para impresoras Epson son 100% compatibles con los originales, poseen un rendimiento inigualable, una calidad superior en impresión y cuentan con garantía Inktec, esto asegura el perfecto desempeño de su tinta.

El rendimiento de los cartuchos Gneiss es excelente, ofrecen exactamente la misma cantidad de impresiones que los originales."
8393,GN-EP133C,Cartucho p/Epson T25/TX125/TX320 (T133220) -cyan -Gneiss (GN-EP133C),Cartuchos Alternativos Epson,Gneiss,Si,1.45,,"Cartucho GN-EP133C 
para uso en:
Stylus T25, TX125, TX123, T22, TX120, TX420W y Stylus office TX320F.

Los cartuchos alternativos Gneiss para impresoras Epson son 100% compatibles con los originales, poseen un rendimiento inigualable, una calidad superior en impresión y cuentan con garantía Inktec, esto asegura el perfecto desempeño de su tinta.

El rendimiento de los cartuchos Gneiss es excelente, ofrecen exactamente la misma cantidad de impresiones que los originales."
8394,GN-EP133M,Cartucho p/Epson T25/TX125/TX320 (T133320) -magenta -Gneiss (GN-EP133M),Cartuchos Alternativos Epson,Gneiss,Si,1.43,,"Cartucho GN-EP133M
para uso en Stylus T25, TX125, TX123, T22, TX120, TX420W y Stylus office TX320F.

Los cartuchos alternativos Gneiss para impresoras Epson son 100% compatibles con los originales, poseen un rendimiento inigualable, una calidad superior en impresión y cuentan con garantía Inktec, esto asegura el perfecto desempeño de su tinta.

El rendimiento de los cartuchos Gneiss es excelente, ofrecen exactamente la misma cantidad de impresiones que los originales."
8395,GN-EP133Y,Cartucho p/Epson T25/TX125/TX320 (T133420) -yellow -Gneiss (GN-EP133Y),Cartuchos Alternativos Epson,Gneiss,Si,1.46,,"Cartucho GN-EP133Y

Para uso en Stylus T25, TX125, TX123, T22, TX120, TX420W y Stylus office TX320F.

Los cartuchos alternativos Gneiss para impresoras Epson son 100% compatibles con los originales, poseen un rendimiento inigualable, una calidad superior en impresión y cuentan con garantía Inktec, esto asegura el perfecto desempeño de su tinta.

El rendimiento de los cartuchos Gneiss es excelente, ofrecen exactamente la misma cantidad de impresiones que los originales."
2274,GN-EP73NB,Cartucho p/Epson TX200/TX300F/TX400/CX930 (T073120) -black -Gneiss (GN-EP73NB),Cartuchos Alternativos Epson,Gneiss,Si,2.84,,"GN-EP73NB
CARTUCHO GN-EP73NB PARA EPSON ST, TX200 / TX300F / TX400 / CX9300 BLACK

Nuestros cartuchos alternativos, logran una máxima compatibilidad con tu modelo de impresora y una calidad de impresión excelente con óptimos rendimientos.

- 100% compatibles 
- Cerrados al vacío
- Colores Reales
- No tapan los inyectores"
11622,GN-EP133B,Cartucho p/Epson Tx320 (T133120) -black -Gneiss (GN-EP133B),Cartuchos Alternativos Epson,Gneiss,Si,1.43,,"Cartucho Para Epson Tx320 GN-EP133B

- T133120
- Color negro"
15542,GN-EP136,Cartucho p/Epson WorkForce K101/K301 -black -Gneiss (GN-EP136),Cartuchos Alternativos Epson,Gneiss,Si,1.81,,"GN-EP136

Nuestros cartuchos alternativos logran una máxima compatibilidad con tu modelo de impresora y una calidad de impresión excelente con óptimos rendimientos.

- 100% compatibles
- Cerrados al vacío
- Colores Reales
- No tapan los inyectores 
- Compatible con: Epson WorkForce K101/K301 "
20021,GN-EP206B,Cartucho p/Epson XP-2101 -black -Gneiss (GN-EP206B),Cartuchos Alternativos Epson,Gneiss,Si,4.1,,"Excelentes Cartuchos 100% compatibles.

Gran calidad de impresión y cantidad de impresiones.

Compatible con impresora XP-2101

COLOR NEGRO
"
20022,GN-EP206C,Cartucho p/Epson XP-2101 -cyan -Gneiss (GN-EP206C),Cartuchos Alternativos Epson,Gneiss,Si,3.97,,"Excelentes Cartuchos 100% compatibles.

Gran calidad de impresión y cantidad de impresiones.

Compatible con impresora XP-2101.

COLOR CYAN."
20023,GN-EP206M,Cartucho p/Epson XP-2101 -magenta -Gneiss (GN-EP206M),Cartuchos Alternativos Epson,Gneiss,Si,4.1,,"Excelentes Cartuchos 100% compatibles.

Gran calidad de impresión y cantidad de impresiones

Compatible con impresora XP-2101

COLOR MAGENTA"
20024,GN-EP206Y,Cartucho p/Epson XP-2101 -yellow -Gneiss (GN-EP206Y),Cartuchos Alternativos Epson,Gneiss,Si,4.1,,"Excelentes Cartuchos 100% compatibles

Gran calidad de impresión y cantidad de impresiones

Compatible con impresora XP-2101

COLOR AMARILLO"
12952,GN-EP197BXL,Cartucho p/Epson XP201/211/401/411/702/WF2532 -alta capacidad -black -Gneiss (GN-EP197BXL),Cartuchos Alternativos Epson,Gneiss,Si,2.53,,"Cartucho Gneiss (GN-EP196BXL)

- Compatible con impresoras: Epson XP201/211/401/411/702/WF2532

- Alta capacidad

- Color: black"
12953,GN-EP196CXL,Cartucho p/Epson XP201/211/401/411/702/WF2532 -alta capacidad -cyan -Gneiss (GN-EP196CXL),Cartuchos Alternativos Epson,Gneiss,Si,2.53,,"Cartucho Gneiss (GN-EP196CXL)

- Compatible con impresoras: Epson XP201/211/401/411/702/WF2532

- Alta capacidad

- Color: cyan"
12954,GN-EP196MXL,Cartucho p/Epson XP201/211/401/411/702/WF2532 -alta capacidad -magenta -Gneiss (GN-EP196MXL),Cartuchos Alternativos Epson,Gneiss,Si,2.5,,"Cartucho Gneiss (GN-EP196MXL)

- Compatible con impresoras: Epson XP201/211/401/411/702/WF2532

- Alta capacidad

- Color: magenta"
12955,GN-EP196YXL,Cartucho p/Epson XP201/211/401/411/702/WF2532 -alta capacidad -yellow -Gneiss (GN-EP196YXL),Cartuchos Alternativos Epson,Gneiss,Si,2.5,,"Cartucho Gneiss (GN-EP196YXL)

- Compatible con impresoras: Epson XP201/211/401/411/702/WF2532

- Alta capacidad

- Color: amarillo"
15884,GN-EP297BXL,Cartucho p/Epson XP231/XP431 -alta capacidad -black -Gneiss (GN-EP297BXL),Cartuchos Alternativos Epson,Gneiss,Si,3.48,,"GN-EP297BXL

Nuestros cartuchos alternativos logran una máxima compatibilidad con tu modelo de impresora y una calidad de impresión excelente con óptimos rendimientos.

- Compatible con impresoras Epson XP231 y XP431

- Alta capacidad

- Color negro"
15885,GN-EP296CXL,Cartucho p/Epson XP231/XP431 -alta capacidad -cyan -Gneiss (GN-EP296CXL),Cartuchos Alternativos Epson,Gneiss,Si,3.48,,"GN-EP296CXL

Nuestros cartuchos alternativos nlogran una máxima compatibilidad con tu modelo de impresora y una calidad de impresión excelente con óptimos rendimientos.


- Compatible con impresoras Epson XP231 y XP431

- Alta capacidad

- Color cyan"
15886,GN-EP296MXL,Cartucho p/Epson XP231/XP431 -alta capacidad -magenta -Gneiss (GN-EP296MXL),Cartuchos Alternativos Epson,Gneiss,Si,3.4,,"GN-EP296MXL

Nuestros cartuchos alternativos logran una máxima compatibilidad con tu modelo de impresora y una calidad de impresión excelente con óptimos rendimientos.

- Compatible con impresoras Epson XP231 y XP431

- Alta capacidad

- Color Magenta"
15887,GN-EP296YXL,Cartucho p/Epson XP231/XP431 -alta capacidad -yellow -Gneiss (GN-EP296YXL),Cartuchos Alternativos Epson,Gneiss,Si,3.45,,"GN-EP296YXL

Nuestros cartuchos alternativos logran una máxima compatibilidad con tu modelo de impresora y una calidad de impresión excelente con óptimos rendimientos.

- Compatible con impresoras Epson XP231 y XP431

- Alta capacidad

- Color amarillo"
1644,GN-HP21,Cartucho p/HP C9351A -HP 21 -22ml -black -Gneiss (GN-HP21),Cartuchos Alternativos Hp,Gneiss,Si,11.08,,"- 100% compatibles 
- Cerrados al vacío
- Colores Reales
- No tapan los inyectores

CARTUCHO GNEISS P/ PSC 1410 / DESKJET 3910/ 3920 / 3930 / 394 NEGRO"
9375,GN-HP60BXL,Cartucho p/HP CC641WL -HP 60XL -18ml -black -Gneiss (GN-HP60BXL),Cartuchos Alternativos Hp,Gneiss,Si,17.11,Cartucho Gneiss GN-HP60BXL,"Compatible para Impresoras Hewlett Packard:

Deskjet F4280
Deskjet F4480
Photosmart C4700
Photosmart D110a
Deskjet D1660
Deskjet F4400
Deskjet F4580
Photosmart C4680 All in One
Photosmart C4780 All in One"
11623,GN-HP122BXL,Cartucho p/HP DeskJet 3050/CH561HL -HP 122XL -20ml -black -Gneiss (GN-HP122BXL),Cartuchos Alternativos Hp,Gneiss,Si,16.73,,"Cartucho Alternativo Negro HP Gneiss 
(GN-HP122BXL)

Compatible con:
HP Deskjet 1000/1050/1055/2000/2050/3000/3050/3050A"
11624,GN-HP122CXL,Cartucho p/HP DeskJet 3050/CH562HL -HP 122XL -21ml -color -Gneiss (GN-HP122CXL),Cartuchos Alternativos Hp,Gneiss,Si,17.33,,"Cartucho Alternativo Color Hp 
(CH562HL)

Compatible con:
HP Deskjet 1000/1050/1055/2000/2050/3000/3050/3050A"
1645,GN-HP22,Cartucho p/HP Deskjet 3910/3940 PSC 1410 -C9352A -HP 22 -17.3ml -tricolor -Gneiss (GN-HP22),Cartuchos Alternativos Hp,Gneiss,Si,16.13,,"- 100% compatibles 
- Cerrados al vacío
- Colores Reales
- No tapan los inyectores

CARTUCHO GNEISS P/ PSC 1410 / DESKJET 3910/ 3920 / 3930 / 3940 COLOR"
15541,GN-HP664CXLNC,Cartucho p/HP Deskjet Advantage 1115/2135/3635/3835/4535/4675 -HP 664xl -21ml -color -Gneiss (GN-HP664CXLNC),Cartuchos Alternativos Hp,Gneiss,Si,19.69,,"- 100% compatibles
- Cerrados al vacío
- No tapan los inyectores
- Colores reales
- Compatible con:
HP Deskjet Advantage 1115/2135/3635/3835/4535/4675"
15540,GN-HP664BXLNC,Cartucho p/HP Deskjet Advantage 1115/2135/3635/3835/4535/4675 -HP 664xl -22ml -black -Gneiss (GN-HP664BXLNC),Cartuchos Alternativos Hp,Gneiss,Si,17.54,,"- 100% compatibles
- Cerrados al vacío
- No tapan los inyectores
- Color negro
- Compatible con: HP Deskjet Advantage 1115/2135/3635/3835/4535/4675"
14163,GN-HP662CXL,Cartucho p/HP Deskjet Advantage 2515/2545/2645/3515/3545 - HP 662xl -21ml -color -Gneiss (GN-HP662CXL),Cartuchos Alternativos Hp,Gneiss,Si,17.4,,"Cartucho Gneiss GN-HP662CXL

Compatible con:
HP Deskjet Advantage 2515
HP Deskjet Advantage 2545
HP Deskjet Advantage 2645
HP Deskjet Advantage 3515
HP Deskjet Advantage 3545

- Color
- 21ml"
14162,GN-HP662BXL,Cartucho p/HP Deskjet Advantage 2515/2545/2645/3515/3545 -HP 662xl -22ml -black -Gneiss (GN-HP662BXL),Cartuchos Alternativos Hp,Gneiss,Si,16.97,,"Cartucho Gneiss (GN-HP662BXL)

Compatible con:
HP Deskjet Advantage 2515
HP Deskjet Advantage 2545
HP Deskjet Advantage 2645
HP Deskjet Advantage 3515
HP Deskjet Advantage 3545

- Color: negro"
22688,GN-HP667CXL,Cartucho p/HP Deskjet Plus Ink Advantage 6000/6400/Deskjet Ink Advantage 1200/2300/2700/4100 -HP 667xl -21ml -color -Gneiss (GN-HP667CXL),Cartuchos Alternativos Hp,Gneiss,Si,21.45,,"- 100% compatibles
- Cerrados al vacío
- No tapan los inyectores
- Colores reales
- Compatible con:
Impresoras de las series HP Deskjet Plus Ink Advantage 6000, HP DeskJet Plus Ink Advantage 6400 y HP Deskjet Ink Advantage 1200 e impresoras Todo-en-Uno HP Deskjet Ink Advantage 2300, HP Deskjet Ink Advantage 2700 y HP DeskJet Ink Advantage 4100"
22558,GN-HP667BXL,Cartucho p/HP Deskjet Plus Ink Advantage 6000/6400/Deskjet Ink Advantage 1200/2300/2700/4100 -HP 667xl -22ml -black -Gneiss (GN-HP667BXL),Cartuchos Alternativos Hp,Gneiss,Si,19.68,,"- 100% compatibles
- Cerrados al vacío
- No tapan los inyectores
- Colores reales
- Compatible con:
Impresoras de las series HP Deskjet Plus Ink Advantage 6000, HP DeskJet Plus Ink Advantage 6400 y HP Deskjet Ink Advantage 1200 e impresoras Todo-en-Uno HP Deskjet Ink Advantage 2300, HP Deskjet Ink Advantage 2700 y HP DeskJet Ink Advantage 4100"
9890,FASW-121000F-2,Cctv fuente de alimentacion -12v 1A -plug intercambiable + 2 fichas -Probattery (FASW-121000F-2),Seguridad Video Accesorios,Probattery,Si,4.85,Fuente 220v -12v 1A Cctv -plug intercambiable + 2 fichas -Probattery (FASW-121000F-2),"Fuente De Alimentación Switching FASW-121000F-2

- 12v
- 1 Amp
- P/camara IR
- Conector: 5.5 x 2.1mm
- 1000Ma"
9894,FASW-123000F-2,Cctv fuente de alimentacion -12v 3A -plug intercambiable + 2 fichas -Probattery (FASW-123000F-2),Seguridad Video Accesorios,Probattery,Si,11.22,Fuente 220v -12v 3A Cctv -plug intercambiable + 2 fichas -Probattery (FASW-123000F-2),"Fuente De Alimentación Switching FASW-123000F-2

- 12v
- 3 Amp
- P/camara IR
- Conector: 5.5 x 2.1mm
- 3000Ma"
22396,AWR1 FID,Cera p/impresoras de cabezal plano -110mm x 74mts (AWR1 FID),Cintas Alternativas,Generica,Si,1.27,,"AWR®1 es la cera más competitiva de la gama inkanto.
AWR®1 es la solución ideal para aplicaciones particularmente sensibles a la relación calidad precio.

Un producto muy competitivo que aprovecha los estándares de calidad de ARMOR.
Muy buena calidad de impresión en todos los tipos de soporte de papel.
Códigos de barras perfectamente legibles.

Compatibilidades de impresión
Mate
Couché
Couché brillo

Substratos de impresión recomendados
Papeles sin recubrimiento (vellum)
Papeles couchés/tags (mates o satinatos)
Sintéticos (plástico)

Rodillos compatibles para impresoras
ARMOR fabrica rodillos compatibles para todas las impresoras de transferencia térmica disponibles en el mercado, respetando las especificaciones de origen y las relaciones comerciales con sus asociados.

ZEBRA CSO
Largo: 110mm x 74m

Rodillos GENERIC
Una cinta responde a las especificaciones de la mayoría de impresoras de cabezal convencional actuales. ARMOR ha desarrollado un sistema de detección de final de cinta que hace que la gama genérica de inkanto sea compatible con todas las configuraciones de fin de cinta de las impresoras de cabezal convencional actuales.
Este tipo de cinta está disponible con entintado interior (CSI) o exterior (CSO), sobre mandrino de 1"" (25.4 mm), el mandrino más utilizado para las impresoras de etiquetaje de códigos de barras. Si precisa más información, póngase en contacto con nosotros."
