Producto_JS,Match_Excel,Marca,PrecioUSD,Similaridad,PrecioARS
Sony PS5 PlayStation 5 Slim 1TB Digital,Balanza de Baño Gadnic Digital con APP,Gadnic,18.51,0.312,1345
Sony PS5 PlayStation 5 Slim 1TB Digital,Cargador de pilas AA/AAA -4 celdas -c/cable usb -Netmak (NM-CH4),Netmak,7.65,0.311,1345
Sony WH-1000XM4,Tapon ciego -white -Taad (S8100),TAAD,0.0,0.383,1345
Sony WH-1000XM4,Mouse optico -Usb 1000dpi -red Philips M214 (SPK7214R),Philips,2.94,0.29,1345
Sony WH-1000XM4,Mouse optico -Usb 1000dpi -black Philips M234 (SPK7234),Philips,2.74,0.286,1345
South Port Conservador Plegable,Switch 8 ports 10/100/1000 -carcasa plástica -black -Tenda (SG108M),Tenda,14.46,0.388,1345
South Port Conservador Plegable,Switch 5 ports 10/100 -carcasa plástica -white -Tenda (S105),Tenda,6.15,0.374,1345
South Port Conservador Plegable,Switch 8 ports 10/100 -carcasa plástica -white -Tenda (S108),Tenda,7.85,0.374,1345
Switch Gigabit 8 Puertos,Switch 8 ports 10/100 -TP-Link (TL-SF1008D),TP-Link,11.02,0.388,1345
Switch Gigabit 8 Puertos,Switch 5 ports 10/100 -TP-Link (TL-SF1005D),TP-Link,8.33,0.358,1345
Switch Gigabit 8 Puertos,Switch 8 ports 10/100/1000Mbps -TP-Link (TL-SG1008D),TP-Link,19.64,0.342,1345
T-G Parlante Bluetooth Portátil TG-104 Negro,Parlante 2.0 -20w -bluetooth -3.5mm/aux -acabado en madera -black -Noganet (SPYDER),Noganet,51.98,0.425,1345
T-G Parlante Bluetooth Portátil TG-104 Negro,Joystick gamepad -wireless -Android-IOS/P3/P4/N-switch -bluetooth 5.0 -c/soporte -black -Netmak (NM-NITRO),Netmak,15.83,0.413,1345
T-G Parlante Bluetooth Portátil TG-104 Negro,Parlante 1.0 portable -c/microfono -3w -miniusb -mp3 -bluetooth -silver -Noganet (NGS-025),Noganet,8.41,0.388,1345
T-G Parlante Bluetooth Portátil TG-149 Rojo,Joystick gamepad -wireless -Android-IOS/P3/P4/N-switch -bluetooth 5.0 -c/soporte -black -Netmak (NM-NITRO),Netmak,15.83,0.389,1345
T-G Parlante Bluetooth Portátil TG-149 Rojo,Parlante 1.0 portable -c/microfono -3w -miniusb -mp3 -bluetooth -silver -Noganet (NGS-025),Noganet,8.41,0.376,1345
T-G Parlante Bluetooth Portátil TG-149 Rojo,Parlante 1.0 portable -6w -bluetooth 5.0 -usb/sd/fm -bat. 400mAh -pink -Kolke Fit (KPP-437 630298),Kolke,13.78,0.369,1345
Tablet Samsung Galaxy,Cable sata datos -Noganet (SATA DATOS),Noganet,0.91,0.407,1345
Tablet Samsung Galaxy,Cable sata datos -Noganet (SATA DATOS),Noganet,0.91,0.407,1345
Tablet Samsung Galaxy,Toner p/Samsung ML-1640/1641/2241 -black -Gneiss (GN-TOD108S),Gneiss,11.14,0.317,1345
Tablet Samsung Galaxy,Toner p/Samsung ML-1640/1641/2241 -black -Gneiss (GN-TOD108S),Gneiss,11.14,0.317,1345
Tablet Samsung Galaxy,Cable usb a type-C -1.5mts -black -Netmak (NM-C99),Netmak,1.4,0.282,1345
Tablet Samsung Galaxy,Cable usb a type-C -1.5mts -black -Netmak (NM-C99),Netmak,1.4,0.282,1345
Teclado Mecánico RGB,Set Limpia Teclado y Auricular Ganic 8 en 1,Gadnic,7.47,0.413,1345
Teclado Mecánico RGB,Set Limpia Teclado y Auricular Ganic 8 en 1,Gadnic,7.47,0.413,1345
Teclado Mecánico RGB,Teclado español -usb -black -Genius KB-118 II (31310051401),Genius,6.85,0.354,1345
Teclado Mecánico RGB,Teclado español -usb -black -Genius KB-118 II (31310051401),Genius,6.85,0.354,1345
Teclado Mecánico RGB,Balanza de Baño Gadnic Digital con APP,Gadnic,18.51,0.345,1345
Teclado Mecánico RGB,Balanza de Baño Gadnic Digital con APP,Gadnic,18.51,0.345,1345
WD SSD NVMe 1TB,Teclado español -usb -black -Netmak (NM-KB586U),Netmak,3.66,0.29,1345
WD SSD NVMe 1TB,Mouse pad -c/gel -ergonomico -blue -Netmak (NM-PGEL-B),Netmak,4.86,0.261,1345
WD SSD NVMe 1TB,Teclado español -usb -ergonómico -104 teclas -black -Netmak (NM-KB592U),Netmak,3.68,0.256,1345
XTECH Parlante Bluetooth,Cartucho HP original Ink Advantage 667 -2ml -tricolor (3YM78AL),Hewlett Packard,13.69,0.368,1345
XTECH Parlante Bluetooth,Cartucho HP original Ink Advantage 667 -2ml -tricolor (3YM78AL),Hewlett Packard,13.69,0.368,1345
XTECH Parlante Bluetooth,Parlante 2.0 -20w -bluetooth -3.5mm/aux -acabado en madera -black -Noganet (SPYDER),Noganet,51.98,0.336,1345
XTECH Parlante Bluetooth,Parlante 2.0 -20w -bluetooth -3.5mm/aux -acabado en madera -black -Noganet (SPYDER),Noganet,51.98,0.336,1345
XTECH Parlante Bluetooth,Cartucho HP original Ink Advantage 667 -2ml -black (3YM79AL),Hewlett Packard,14.17,0.333,1345
XTECH Parlante Bluetooth,Cartucho HP original Ink Advantage 667 -2ml -black (3YM79AL),Hewlett Packard,14.17,0.333,1345
Xiaomi Compresor Inflador Portátil 2 Black,Impresora laser -usb 2.0 -white/black -HP Laser M111A (7MD67A),Hewlett Packard,103.65,0.404,1345
Xiaomi Compresor Inflador Portátil 2 Black,Cuchillo de chef -borde afilado -acero inoxidable -2mm -Cuk By Gadnic Nex38 (KNIFE017),Gadnic,8.76,0.391,1345
Xiaomi Compresor Inflador Portátil 2 Black,Impresora laser -usb 2.0/wifi/BT -white/black -HP Laser M111W (7MD68A),Hewlett Packard,137.46,0.375,1345
Xiaomi Redmi A5 4GB 128GB Ocean Blue,PC ARMADA -AM4 -AMD Ryzen 3 4100 -3.8ghz + MSI A520M-A PRO + DDR4 8gb + ssd 240 + gab con fuente ,Generica,218.35,0.331,1345
Xiaomi Redmi A5 4GB 128GB Ocean Blue,Extensor HDMI por UTP Cat 5e/6 -hasta 30mts -2 unidades -black -Netmak (NM-C56),Netmak,4.75,0.313,1345
Xiaomi Redmi A5 4GB 128GB Ocean Blue,Bateria de gel p/ups -12v -7Ah -Rocket (BSLA-1270-CRK),Generica,14.79,0.311,1345
Xiaomi Redmi A5 4GB 128GB Sandy Gold,Lámpara Globo Filamento LED E27 5W Ø125mm Blanco Cálido 220V,Demasled,4.92,0.333,1345
Xiaomi Redmi A5 4GB 128GB Sandy Gold,PC ARMADA -AM4 -AMD Ryzen 3 4100 -3.8ghz + MSI A520M-A PRO + DDR4 8gb + ssd 240 + gab con fuente ,Generica,218.35,0.331,1345
Xiaomi Redmi A5 4GB 128GB Sandy Gold,Smart Tv Box 4K Android 10.0 - 1Gb / 8Gb -Netmak (NM-TVBOX3),Netmak,42.28,0.312,1345
Xiaomi Redmi Note 13,Mouse pad -c/gel -ergonomico -red -Netmak (NM-PGEL-R),Netmak,4.76,0.329,1345
Xiaomi Redmi Note 13,Cable HDMI M/M v1.4 -3mts -Noganet (HDMI-3M 1.4),Noganet,2.29,0.324,1345
Xiaomi Redmi Note 13,Tester digital -c/buzzer -Noganet (DT-830D),Noganet,3.33,0.317,1345
Xiaomi Redmi Pad SE 8.7\,Tester de red para utp -Netmak (NM-R05),Netmak,4.72,0.317,1345
Xiaomi Redmi Pad SE 8.7\,Caja fuerte -diseño simil libro -Gadnic E2 (CAJA0005),Gadnic,9.32,0.312,1345
Xiaomi Redmi Pad SE 8.7\,Teclado español -usb -black -Netmak (NM-KB586U),Netmak,3.66,0.31,1345
Xienan Kit Premium Vino,Cable manos libres -3.5mm -c/microfono incorporado -Netmak (NM-MIC15),Netmak,1.25,0.283,1345
Xienan Kit Premium Vino,Lampara recargable -rgb -silicona -diseño osito -Probattery (ILRA-OSITO),Probattery,8.36,0.274,1345
Xienan Kit Premium Vino,Mouse pad -gamer -30x25cm -goma antideslizate -iluminacion LED RGB -black -Netmak (NM-LUMINOSA),Netmak,8.22,0.271,1345
Xtech Escritorio Un Nivel Natural Beige,Set 72 marcadores con doble punta -pincel y fina -c/estuche -Dual Marker,Generica,22.82,0.414,1345
Xtech Escritorio Un Nivel Natural Beige,Bandas elasticas p/ejercicio (Kit x5) -5 niveles de resistencia -Gadnic (GYM00017),Gadnic,51.8,0.347,1345
Xtech Escritorio Un Nivel Natural Beige,Pila de litio LR1130 -10 unidad -1.5v 45mah -Maxell (PNAK-LR1130-BMX),Maxell,3.16,0.333,1345
Xtech Silla Minnie Mouse Edition Licencia Disney,Teclado español + mouse 1600dpi -usb -ergonómico -104 teclas -Netmak (NM-KB340),Netmak,6.66,0.394,1345
Xtech Silla Minnie Mouse Edition Licencia Disney,Teclado español + mouse 1600dpi -usb -teclas redondas -black -Netmak (NM-KB258),Netmak,8.83,0.378,1345
Xtech Silla Minnie Mouse Edition Licencia Disney,Teclado español + mouse -wireless 2.4GHz -1000dpi -black -Netmak (NM-KB770),Netmak,10.8,0.374,1345
Xtech Silla Spider-Man Miles Morales Edition,Fuente ATX 750W -20+4 pines -fan 12cm -PCF activo -c/cable power -Noganet (ATX 750 NB),Noganet,37.47,0.369,1345
Xtech Silla Spider-Man Miles Morales Edition,Lampara recargable -rgb -silicona -diseño osito -Probattery (ILRA-OSITO),Probattery,8.36,0.362,1345
Xtech Silla Spider-Man Miles Morales Edition,Teclado español + mouse -wireless -1000dpi -receptor nano usb -black -Verbatim (70708),Verbatim,14.22,0.354,1345
iPad 10th Generation,Resma A4 -210x297 -500 hojas -75gr -certificacion FSC -Report,Report,4.26,0.321,1345
iPad 10th Generation,Resma A4 -210x297 -500 hojas -80gr -certificacion FSC -Report,Report,5.26,0.321,1345
iPad 10th Generation,Cable sata datos -Noganet (SATA DATOS),Noganet,0.91,0.31,1345
